Age,Occupation,MaritalStatus,Dependents,ResidentialStatus,AddressDuration,CreditScore,IncomeLevel,LoanAmountRequested,LoanTerm,PurposeoftheLoan,Collateral,InterestRate,PreviousLoans,ExistingLiabilities,ApplicationBehavior,LocationofApplication,ChangeinBehavior,TimeofTransaction,AccountActivity,PaymentBehavior,Blacklists,EmploymentVerification,PastFinancialMalpractices,DeviceInformation,SocialMediaFootprint,ConsistencyinData,Referral,IsFraud
56,Teacher,Divorced,4,Own,1,827,52033,300000,25,home,Yes,4.5,1,7000,Rapid,Local,No,10:50,Normal,On-time,No,Verified,No,Tablet,Yes,Consistent,Referral,No
40,Engineer,Single,0,Rent,1,830,42893,8105,3,home,No,5.4,2,4244,Rapid,Local,No,16:00,Normal,On-time,No,Verified,No,Laptop,No,Consistent,Online,No
25,Clerk,Married,0,Live with Parents,360,809,141233,75734,19,home,No,4.6,3,0,Normal,Local,No,03:00,Normal,On-time,Yes,Verified,No,Laptop,No,Consistent,Referral,No
34,Unemployed,Single,0,Rent,92,630,9217,2000,1,personal,No,4.7,1,4373,Rapid,Unusual,No,16:00,Unusual,Defaulted,No,Not Verified,Yes,Mobile,No,Inconsistent,Online,Yes
47,Software Developer,Single,0,Rent,26,733,47979,67767,1,home,No,8,1,2499,Normal,Local,No,12:00,Normal,On-time,No,Verified,No,Laptop,No,Consistent,Online,No
22,Engineer,Single,0,Rent,48,754,53290,72052,8,auto,No,4.5,2,2030,Rapid,Unusual,No,12:45,Normal,On-time,No,Verified,No,Mobile,No,Consistent,Online,No
22,Designer,Single,0,Rent,1,685,12945,2000,11,education,No,4.5,1,3778,Rapid,Unusual,No,03:00,Normal,On-time,No,Not Verified,No,Mobile,No,Inconsistent,Online,No
22,Technician,Single,0,Rent,1,661,99576,60122,28,auto,No,4.5,0,4725,Rapid,Unusual,No,15:40,Normal,On-time,No,Verified,No,Mobile,No,Inconsistent,Online,No
56,Manager,Married,4,Own,1,830,39164,47723,30,travel,Yes,4.5,4,0,Normal,Local,Yes,10:20,Normal,On-time,No,Verified,No,Desktop,Yes,Consistent,Online,No
56,Entrepreneur,Married,0,Own,55,830,55488,44287,21,home,No,4.5,3,4293,Normal,Local,No,14:15,Normal,On-time,No,Verified,No,Desktop,No,Consistent,Referral,No
22,Musician,Single,1,Rent,1,741,28672,14920,16,auto,No,4.5,1,2818,Rapid,Unusual,No,10:30,Unusual,On-time,Yes,Verified,No,Mobile,No,Inconsistent,Online,Yes
26,Lawyer,Divorced,1,Own,121,830,150000,82293,30,home,Yes,4.5,1,7000,Normal,Local,Yes,12:45,Normal,Late,No,Verified,No,Desktop,Yes,Consistent,Referral,No
37,Entrepreneur,Single,4,Own,213,830,27651,64468,18,medical,No,4.5,0,2284,Normal,Local,No,10:00,Normal,On-time,No,Verified,No,Desktop,No,Consistent,Online,No
31,Technician,Married,2,Own,207,713,13190,78225,30,auto,No,4.8,4,1139,Normal,Local,No,09:40,Normal,On-time,No,Verified,No,Desktop,No,Consistent,Online,No
36,Entrepreneur,Single,4,Rent,30,830,125211,25418,9,home,No,4.5,2,4008,Normal,Local,No,15:30,Normal,Defaulted,No,Verified,No,Desktop,No,Consistent,Online,No
41,Teacher,Married,0,Own,229,830,125353,300000,1,personal,Yes,6.1,1,0,Normal,Local,Yes,16:30,Normal,On-time,No,Verified,No,Desktop,Yes,Consistent,Referral,No
27,Engineer,Single,0,Own,1,818,25094,2000,1,travel,No,4.5,2,1670,Normal,Local,No,10:20,Normal,On-time,No,Verified,No,Tablet,Yes,Consistent,Online,No
35,Manager,Single,1,Own,82,830,57441,71746,30,education,Yes,4.5,2,4781,Rapid,Local,No,14:10,Normal,On-time,No,Verified,No,Tablet,No,Consistent,Referral,No
46,Manager,Married,2,Own,1,773,150000,300000,28,home,Yes,4.5,1,1874,Normal,Local,Yes,14:00,Normal,On-time,No,Verified,Yes,Desktop,No,Consistent,Referral,No
22,Technician,Single,0,Own,26,759,42297,28353,1,education,No,4.9,2,3033,Rapid,Local,No,12:45,Unusual,On-time,No,Not Verified,No,Mobile,No,Inconsistent,Online,No
40,Doctor,Married,4,Own,231,830,32553,59714,24,education,No,4.5,2,4245,Normal,Local,Yes,14:10,Normal,On-time,No,Verified,No,Desktop,No,Consistent,Referral,No
43,Engineer,Married,0,Own,91,792,28126,2000,1,education,No,4.5,1,5207,Normal,Local,No,10:10,Normal,Late,No,Verified,No,Desktop,No,Consistent,Online,No
